youtuber_name,N_FOLLOWERS,VIEWS
"Die Antwoord ",3300000,978000
"Noel Deyzel ",2900000,864000
"Openmic Productions ",2400000,732000
"The Supa Strikas - Kids Soccer Cartoon ",2000000,597000
"Boomerang Africa ",2000000,594000
"Cartoon Networ  Africa ",1900000,555000
"SABC News ",1600000,480000
"Pastor Alph Lu au ",1500000,435000
"Hayls World ",1300000,393000
"Wian ",1200000,360000
"DJ Arch Jnr ",1200000,345000
"The  iffness ",1200000,345000
"michael jamison ",1100000,342000
"OMFilms ",1100000,333000
"Nasty_C ",947000,284100
"Spirittunez ",942000,282600
"MzansiMagicOfficial ",931000,279300
"DLM Men's Lifestyle ",863000,258900
"Steegs Vlogs ",863000,258900
"Zee World Africa ",829000,248700
"MDM Sketch Comedy ",803000,240900
"Zee TV Africa ",802000,240600
"Dan Mace ",795000,238500
"MacG ",770000,231000
"Lasizwe Dambuza ",763000,228900
"Ambitiouz Entertainment ",736000,220800
"Mziiki ",715000,214500
"Caitlin De Ville ",703000,210900
"MajorLeagueDjz ",687000,206100
"Zeus Studios ",658000,197400
"Prophet Shepherd Bushiri ",637000,191100
"Cricket South Africa ",578000,173400
"Make Afrika Great ",540000,162000
"LEON GUMEDE ",518000,155400
"Lloyiso ",510000,153000
"Evangelist Gabriel Fernandes ",493000,147900
"Zee Magic ",487000,146100
"90 Second IQ Boosters ",472000,141600
"Ramscomics ",459000,137700
"WildEarth ",456000,136800
"you belong ",455000,136500
"MaroGamingStudio8k ",450000,135000
"MalaMala Game Reserve ",437000,131100
"Dj Maphorisa ",424000,127200
"Jono Dry ",411000,123300
"Mihlali N ",394000,118200
"TechNick ",391000,117300
"Mr. Bow ",384000,115200
"IdolsSA ",381000,114300
"SABC Education Shows ",370000,111000
"Sasenathi Studios ",370000,111000
"1 Magic ",356000,106800
"AfricaOnNetflix ",356000,106800
"BOLO HOUSE MUSIC ",348000,104400
"Muslim Central ",346000,103800
"Kruger Park Sightings ",345000,103500
"Skits By Sphe ",341000,102300
"Reinhardt Buhr ",328000,98400
"Cassper Nyovest ",327000,98100
"Gemini Blessed TV ",326000,97800
"Sean Kitching ",319000,95700
"In Depth Cine ",318000,95400
"Cars.co.za ",314000,94200
"Anton Koen ",312000,93600
"William Last KRM ",311000,93300
"SamupertyZuluTV ",306000,91800
"United Oromia ",295000,88500
"Mafikizolo ",292000,87600
"RockSteady Creatives ",288000,86400
"We Love Africa ",284000,85200
"Makhadzi ",283000,84900
"Jack Bohloko ",279000,83700
"Prince Kaybee ",277000,83100
"Showmax ",266000,79800
"Mr JazziQ ",263000,78900
"beautarie ",261000,78300
"Johan Swanepoel ",256000,76800
"Mpoomy Ledwaba ",254000,76200
"Cream Puff ",254000,76200
"Wild Africa Adventure Films ",247000,74100
"Built IRL ",245000,73500
"Kay Yarms ",244000,73200
"Inkabi Records ",235000,70500
"Xhosanostra TV ",235000,70500
"Emotional reader ",234000,70200
"Mzansi Fresh Dancers ",232000,69600
"Game Drive Channel ",231000,69300
"MUTHALAND TV ",230000,69000
"DStv ",230000,69000
"Lesiba Mothupi ",225000,67500
"Kusemek ",223000,66900
"Tio Yado Humorista Arte Tv ",222000,66600
"Koko Records ",217000,65100
"Woodshop Junkies ",217000,65100
"Sho Madjozi ",215000,64500
"Elaine ",214000,64200
"Tekweni ",213000,63900
"Detormentis ",210000,63000
"Mindset ",208000,62400
"BET International ",207000,62100
